decision_date,ticker,outcome,planned_shares,close_price,close_nav,cash_before_decision,required_reserve,uncommitted_cash_after_reserve,intended_capital,funding_fraction,q0_reason,buffer_basis_points
2006-07-05,MED,PLAN,205,19.49,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,ACLI,PLAN,66,59.89,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,FALB,PLAN,75,53.26,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,TTI,PLAN,131,30.37,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,CHAP1,PLAN,56,71.0,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,LFCHY,PLAN,64,61.65,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,ADM,PLAN,94,42.21,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,LVS,PLAN,53,75.06999999999998,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,MNST,PLAN,19,205.35,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,BFH,PLAN,67,58.81,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,AVL1,PLAN,84,47.38,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,LECO,PLAN,65,60.63,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,DAKT,PLAN,137,29.03,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,MTW,PLAN,89,44.87,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,VOLT2,PLAN,83,47.67,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,EXPD,PLAN,74,53.73,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
2006-07-05,KEX,PLAN,101,39.46,100000.0,100000.0,150.0,99850.0,4000.0,1.0,,15
